min;max;range;average;energy;rms;std;volume;surfacde;surfaceovervolume;sphercal disporportion;compactness;label
-994;231;1225;-117.4401254;987667717;237.2623038;206.1582347;50196.64764;12123.47369;0.241519589;1.842297688;0.021215788;0
-849;130;979;-166.1114488;75052448;275.7552914;220.1089896;2823.829651;1214.492097;0.430086885;1.257047164;0.037641898;1
-1024;769;1793;-49.59058105;3477341463;207.2957344;201.2766648;231519.6991;27904.80301;0.12052885;1.530392647;0.028021706;0
-979;979;1958;-20.76289101;1527686564;152.8661327;151.4495192;187039.3753;26792.03476;0.143242751;1.693945933;0.024062988;1
-945;90;1035;-356.4542125;529102470;492.2022305;339.416308;6248.474121;2024.27935;0.323963789;1.233872647;0.038707344;1
-919;119;1038;-267.8713745;130643182;405.8885323;304.9433182;2268.791199;1359.624512;0.599272649;1.628315319;0.025532369;1
-1024;238;1262;-26.8551234;472311513;189.9740209;188.066294;37442.20734;10185.46155;0.272031546;1.881867144;0.020550171;1
-923;167;1090;-60.48632813;119697106;170.9471447;159.8884936;11718.75;3354.397444;0.286241915;1.344444466;0.034031773;1
-1008;372;1380;-53.96544137;1016692485;196.3875111;188.8273964;75419.42596;12914.41024;0.171234534;1.496011638;0.028993218;0
-985;243;1228;-130.7599015;1148092598;276.4458819;243.5655431;43019.6675;10533.07568;0.244843261;1.774024911;0.022452221;0
-1022;97;1119;-603.223863;739382734;660.8549895;269.9079257;4843.711853;2142.070577;0.442237408;1.547262922;0.027564664;0
-925;162;1087;-230.7991029;526848719;352.667134;266.656861;12119.29321;4377.775292;0.361223647;1.715738695;0.023605987;0
-910;422;1332;-37.57366663;68930591;89.10890828;80.79985836;24836.54022;8355.685769;0.336427123;2.029725196;0.018346069;1
-855;346;1201;-91.31096912;216778307;214.877089;194.5108488;13432.50275;4747.006589;0.353397031;1.737125057;0.023171399;0
-1024;250;1274;-0.007828874;206265613;112.7615968;112.7615966;46411.51428;11907.99281;0.256574107;1.906648402;0.020150831;1
-895;128;1023;-249.5848671;67048443;370.2882396;273.5338635;1399.040222;779.377923;0.557080426;1.288379605;0.036277146;1
-1007;116;1123;-129.0403512;353331919;256.9169836;222.1596818;15315.05585;3879.196466;0.253293002;1.300704355;0.035762756;0
-1024;1051;2075;-22.45623319;2397623552;143.5199064;141.752182;333324.3904;39696.04976;0.119091344;1.707464847;0.023777775;0
-932;1152;2084;43.92728219;617457659;98.65799217;88.33908138;181494.7128;28436.22527;0.156677982;1.834334367;0.021354093;0
-858;848;1706;-49.18360305;2019619420;161.2500022;153.5660653;222224.2355;33548.72947;0.150967915;1.890881615;0.020403392;1
-957;123;1080;-260.6080836;320865399;381.7269182;278.9244823;6299.972534;2240.086061;0.355570766;1.357963641;0.033524836;1
-834;95;929;-174.8639391;203893898;311.4481521;257.7257346;6013.870239;2036.486017;0.338631519;1.273389523;0.036919598;0
-872;147;1019;-257.9097345;203949405;346.8776913;231.9627159;4853.779965;1916.210047;0.394787168;1.382204381;0.03264679;1
-815;344;1159;-85.03785195;239269508;211.2223061;193.3479411;15343.66608;4010.413076;0.261372547;1.343029517;0.034085568;1
-987;1605;2592;-126.2599596;1440105051;266.3018616;234.4677037;58150.86121;11795.36337;0.202840734;1.625011476;0.025610274;0
-1014;173;1187;-279.5887144;317658377;429.8750289;326.5313021;4918.09845;2143.676172;0.435875002;1.532769714;0.027956546;1
-992;237;1229;-97.7517934;319680108;239.4398458;218.5772784;15953.06396;4238.214591;0.265667749;1.382938117;0.032620811;1
-869;96;965;-175.211848;286657080;303.7949922;248.1777702;8886.33728;2905.905665;0.327008257;1.400604525;0.032005572;1
-930;96;1026;-147.939598;825801076;281.8277155;239.8765027;29772.71404;6352.435582;0.213364343;1.367447079;0.033176692;1
-941;495;1436;-23.79306063;384154809;167.5141172;165.8157705;39202.50603;8305.504498;0.211861571;1.488238972;0.02922065;0
-1023;367;1390;-4.108858603;541526650;96.04856186;95.96063524;168092.5569;26750.22108;0.159139831;1.816118833;0.021676167;1
-954;105;1059;-53.82300136;130660023;148.7641177;138.6861465;16906.61765;4767.405394;0.281984575;1.49655772;0.02897735;1
-705;167;872;-120.3890187;41573865;220.3805783;184.5916669;2451.230472;1196.971335;0.488314481;1.36147664;0.033395164;1
-966;825;1791;-26.31764361;1376017098;138.6943264;136.1745123;204840.9689;30111.26295;0.146998245;1.791844423;0.022118131;0
-1007;944;1951;-62.37691463;2008590292;193.3451213;183.0067115;153725.6241;24162.92833;0.157182177;1.741143629;0.023091225;1
-1024;332;1356;-428.1017595;4163401118;552.4804848;349.23283;39059.32668;13382.64715;0.342623601;2.403853894;0.014234322;0
